,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
Power(HP),0.6633671709201597,0.7969314818918177,0.813082598789977,0.8282665179075888,0.870325000270619,0.870751234960678,0.8783432302483264,0.8784951275550442,0.9794897583376692,0.9948869792400219,0.9996582298444681,0.9998766877634159,0.9999999999999973
Torque(Nm),0.7568229632529052,0.7887433615991712,0.789320175931045,0.8404160869513254,0.8643539229048293,0.8691522994142299,0.8713217564364718,0.9074987295364007,0.9596269117894869,0.9971874527166256,0.9992740036220822,0.9995224505498205,1.0000000000000016
Displacement,0.7183912842972536,0.786413442664869,0.8120281182932684,0.8437403922968203,0.8438439170458615,0.8631967166182641,0.9181442306325609,0.9269785912638933,0.9269986506868614,0.9970404075133373,0.9992554908882275,0.9992564167545498,1.0000000000000007
Length,0.6756106180265,0.7871915265613469,0.8374268467717557,0.8817191280265833,0.9386111513790889,0.9473796129427022,0.9482562747368545,0.9548773850355632,0.958353483880614,0.9588638113577792,0.9631868151425971,0.9641144052478051,1.0000000000000002
Width,0.5117550246864555,0.5552576907205465,0.5593862416883723,0.5609920264060686,0.5814439019675186,0.9908799949969866,0.9971492029782584,0.9979563425282726,0.9981027202613995,0.9984094675635361,0.9992122169377385,0.9998727560332881,1.0
Height,0.02225188356678802,0.6350489436448372,0.7942560359756682,0.9016234889469955,0.9412708697645527,0.9421961015908256,0.9800895628312556,0.9831318937489977,0.984743663415242,0.9852818260825313,0.9917395485270486,0.9956185032835663,0.9999999999999996
Wheelbase,0.6245525113033656,0.799799104849037,0.8469716892640201,0.8608507089618882,0.8777819434860065,0.9023252101904746,0.9231932210400428,0.9500101305892861,0.9621521937318323,0.9622893342456046,0.9825025998856638,0.9832895591478089,0.9999999999999992
Cargo Volume,0.11076343587474166,0.6087523153772213,0.6372547789567213,0.7494342973686419,0.9525327212151471,0.9528457720304946,0.9928500195098444,0.9966478723692449,0.9984859687467099,0.9987265772716898,0.9994099442971777,0.999671565771414,1.0
Unladen Weight,0.7969958685763247,0.8627993210003958,0.8635530956755582,0.8974296231685159,0.9020540154990868,0.9047910205957327,0.9184819120659048,0.9190116434179122,0.9259703093976311,0.9290076748816056,0.9898870007684601,0.9911101945934188,0.9999999999999993
Top Speed,0.5971831050153239,0.8520789109374599,0.8921060285472235,0.9094692433437123,0.9185305494209578,0.9211106326163021,0.926267017584909,0.9425500977113648,0.9432171059778549,0.9432806354242492,0.9484140395982574,0.9997683313687091,1.000000000000001
Acceleration 0-62 Mph (0-100 kph),0.6095377507955193,0.8072343442111428,0.8362991276005659,0.8383401013001502,0.8742140917939414,0.874904642302595,0.9402814435405908,0.9613839449833097,0.962613073810901,0.9683669276471512,0.9688783672578177,0.9977012884954078,1.0000000000000009
Combined mpg,0.19707155392548284,0.23209234359338982,0.7798856118480373,0.9797264328882553,0.9798983254013142,0.9818836894896529,0.9888665827554658,0.9965112099648004,0.9991630876489478,0.9991950775831098,0.9997531548989469,0.9997546249800436,0.9999999999999997
Fuel capacity,0.6759377410721304,0.7134651573270465,0.7532034557453513,0.7540068011985863,0.8418399058596198,0.8657408788692493,0.8910645166105884,0.9830102124458459,0.9843740914509128,0.9935043615155588,0.9975814909091117,0.9995753396494806,0.9999999999999994
